,Provisioned Capacity (GW),Expansion Descriptor,Dispatch Cost ($/day),Congestion Metric,DC Investment Cost ($/yr),Transmission Cost ($/yr),Transmission Added (MW),Generation Cost ($/yr),Generation Added (MW),LMP Max ($)
28,3.2999999999999994,single,238919.7540597498,0.8571584093640684,64.50871262696728,0.0,0.0,0.0,0.0,2284.3911198075966
29,3.3999999999999995,single,239671.21223569915,0.8791245035006753,66.46352210051174,0.0,0.0,0.0,0.0,2371.1016881896926
30,3.499999999999999,single,240436.96301930555,0.8773950579441121,68.4183315740562,0.0,0.0,0.0,0.0,2375.7448232713423
31,3.599999999999999,single,241207.99281674944,0.8797134460412865,70.37314104760067,0.0,0.0,0.0,0.0,2378.1901835725357
32,3.6999999999999993,single,242026.80530462175,0.9232384986709229,72.32795052114513,0.0,0.0,0.0,0.0,2383.468124477604
33,3.7999999999999994,single,242936.47325835814,0.9014599158543086,74.2827599946896,0.0,0.0,0.0,0.0,2464.9517480683917
34,3.8999999999999995,single,243924.4279465623,0.8295006859839421,76.23756946823407,0.0,0.0,0.0,0.0,2706.244842382683
35,3.999999999999999,single,244944.1962701847,0.8613862227003631,78.19237894177851,0.0,0.0,0.0,0.0,2706.403276718287
36,4.1,single,246023.21287618479,0.8800020114201711,80.147188415323,0.0,0.0,0.0,0.0,2775.861740944664
37,4.199999999999999,single,247118.17290416916,0.879831772706486,82.10199788886744,0.0,0.0,0.0,0.0,2775.861773960206
38,4.299999999999999,single,248247.26539788113,0.960676013245223,84.0568073624119,0.0,0.0,0.0,0.0,2775.8613861683843
39,4.399999999999999,single,249398.41455065383,0.9591848076607374,86.01161683595636,0.0,0.0,0.0,0.0,2776.5495336531244
40,4.499999999999999,single,250573.89409162666,0.9612510582280562,87.96642630950083,0.0,0.0,0.0,0.0,2779.4354955198437
41,4.599999999999999,single,251762.1892275967,0.9618090212748589,89.92123578304529,0.0,0.0,0.0,0.0,2779.435493033893
42,4.699999999999999,single,252951.56195326062,0.96096801382083,91.87604525658976,0.0,0.0,0.0,0.0,2779.2221851415215
43,4.799999999999999,single,254142.7404950858,0.9889620675121686,93.83085473013422,0.0,0.0,0.0,0.0,2779.2223852803427
44,4.899999999999999,single,255354.36245234022,0.998729705129524,95.78566420367869,0.0,0.0,0.0,0.0,2830.6603709312535
