distributed_total_cap_gw,dist_lmp_mean_of_node_time_max,dc_vec_sum_gw,dc_vec_min_gw,dc_vec_max_gw,dc_capacity_vector_gw_json
3.9,5.9002744871204875,3.900000000000002,0.06429409643155615,0.8442940964315566,"[0.8442940964315566, 0.6363803869253857, 0.8442940964315566, 0.3147916123227758, 0.06429409643155615, 0.06429409643155615, 0.06429409643155615, 0.09474788617694424, 0.1283155359855579, 0.8442940964315566]"
4.0,4.944120039494981,4.000000000000002,0.13226745738425225,0.9322674573842528,"[0.307198312468531, 0.9322674573842528, 0.13226745738425225, 0.13226745738425225, 0.13226745738425225, 0.18059295307198922, 0.7945951649547888, 0.3888358898952774, 0.3131535543960057, 0.6865542956764001]"
4.1,4.844805761364967,4.100000000000002,0.0,0.7658193099865056,"[0.0, 0.2709034500674743, 0.0, 0.0, 0.7658193099865056, 0.7658193099865056, 0.0, 0.7658193099865056, 0.7658193099865056, 0.7658193099865056]"
4.2,6.683968626876402,4.200000000000003,0.000461973316532166,0.8404619733165326,"[0.000461973316532166, 0.000461973316532166, 0.8404619733165326, 0.000461973316532166, 0.000461973316532166, 0.000461973316532166, 0.8358422401512113, 0.8404619733165326, 0.8404619733165326, 0.8404619733165326]"
4.3,6.120048519300275,4.300000000000003,0.18622829793326895,1.0462282979332693,"[0.7928786978195848, 1.0462282979332693, 0.18622829793326895, 0.18622829793326895, 0.18622829793326895, 0.18622829793326895, 0.8396092567171527, 0.19270311920425137, 0.18622829793326895, 0.4974391386594003]"
4.4,6.122998428968932,4.400000000000002,0.21747615492676337,0.6957649277674327,"[0.48210187197106996, 0.6957649277674327, 0.21747615492676337, 0.37685593512120336, 0.363790860369845, 0.371693038830456, 0.49969142680204004, 0.41836108725776544, 0.42741243978183985, 0.5468522571715863]"
4.5,5.591773525970347,4.5000000000000036,0.06112708457368943,0.9611270845736897,"[0.34985623883679734, 0.9611270845736897, 0.06112708457368943, 0.06112708457368943, 0.06112708457368943, 0.06112708457368943, 0.06112708457368943, 0.9611270845736897, 0.9611270845736897, 0.9611270845736897]"
4.6,6.038804278286804,4.599999999999999,0.18133433194429577,1.0504570235184403,"[0.24455915197228484, 0.576153725645167, 0.18133433194429577, 0.18133433194429577, 0.18133433194429577, 0.18133433194429577, 0.32314537947765243, 0.86094793864835, 0.8193994529609214, 1.0504570235184403]"
4.7,7.215853496321124,4.7,0.0,0.9124923491799828,"[0.0, 0.0, 0.13753825410008613, 0.9124923491799828, 0.9124923491799828, 0.9124923491799828, 0.0, 0.9124923491799828, 0.9124923491799828, 0.0]"
4.8,7.2103449131178365,4.8,0.23759150840454502,0.7354572740081923,"[0.7354572740081923, 0.479973663954995, 0.23759150840454502, 0.4067304311655501, 0.7339110052603806, 0.6123976741786501, 0.6695892294383712, 0.29033118987393225, 0.3667783754495208, 0.26723964826586344]"
4.9,7.206576166195091,4.8999999999999995,0.2435927581318381,1.0086745741881848,"[0.5568925895579082, 1.0086745741881848, 0.7027136263115621, 0.7281077492865099, 0.3325040091785808, 0.3420325071809805, 0.4968135185630347, 0.2435927581318381, 0.24507590946956154, 0.2435927581318381]"
5.0,7.262633787841213,4.999999999999998,0.09999999999999995,1.0999999999999999,"[1.0999999999999999, 1.0999999999999999, 1.0999999999999999, 1.0999999999999999, 0.09999999999999995, 0.09999999999999995, 0.09999999999999995, 0.09999999999999995, 0.09999999999999995, 0.09999999999999995]"
